protein_id	pep_num	F163	F164	F165	F166	F167	F168	F169
Pp1s39_428V6.1	2	55541	58647	45311	124772	148131	101130	109482
Pp1s3_320V6.1	1	520358	579454	617319	546493	524232	355559	476088
Pp1s3_343V6.1	2	1420117	1491601	1871494	1772827	1754935	1247935	1984787
Pp1s3_520V6.1	3	59637051	55394906	52395476	37466122	33284720	31864511	37344011
Pp1s3_572V6.1	1	83136	68740	73290	72536	69824	59317	81098
Pp1s402_22V6.1	2	573264	656826	760042	331693	401546	395542	235223
Pp1s405_31V6.1	3	1353166	1357333	1510359	1450541	1384299	1175026	1603256
Pp1s407_2V6.1	3	2086013	1956826	1902423	2064216	1995009	1920593	2670122
Pp1s40_17V6.1	3	11273741	10193748	8146019	7317289	5525763	5966518	5890258
Pp1s40_304V6.1	2	323263	399302	315444	376536	344677	266056	220184
Pp1s414_8V6.1	1	160367	159891	168326	198151	189890	172009	133166
Pp1s419_6V6.1	3	634830	790505	719242	636207	586344	341940	383998
Pp1s41_162V6.1	3	71374	65921	40788	101671	56621	69395	44603
Pp1s41_264V6.1	1	107620	199400	187438	48003	24545	30277	17309
Pp1s41_281V6.1	3	4161252	6775693	5987749	6747953	7175432	5863008	6057979
Pp1s421_3V6.1	3	43106470	40471027	38232181	22296049	21552292	19325270	22290083
Pp1s424_33V6.1	3	4371565	4456787	7519388	1868460	1693608	2011039	1893561
Pp1s429_29V6.1	1	668550	676725	360343	703198	409790	527906	403172
Pp1s429_7V6.1	1	76075	76270	64684	64355	46632	36772	49353
Pp1s42_208V6.1	3	3878414	3721535	4449693	1623622	1456856	1088245	1381629
Pp1s43_120V6.1	2	1442173	1492172	6875999	516132	608309	714771	517020
Pp1s43_232V6.1	2	129487	129104	139222	138405	127912	103110	123238
Pp1s43_32V6.1	1	312972	408463	460997	131167	327370	334018	440769
Pp1s43_48V6.1	3	634645	581993	686061	681154	672844	642831	823472
Pp1s44_268V6.1	3	1102759	1108639	1185357	1166361	1087340	1136944	1115100
Pp1s44_78V6.1	3	1100513	1686031	1362943	673127	755286	490406	242280
Pp1s450_1V6.1	1	10075	11622	9887	8771	8454	10825	11513
Pp1s455_2V6.1	1	154775	173191	164975	149240	157697	140995	174820
Pp1s45_62V6.1	3	1652441	1580703	1234990	1241794	941118	942119	1426618
Pp1s460_1V6.1	2	786059	774083	695778	580201	509140	453050	576365
Pp1s465_18V6.1	1	21696	19923	20900	21778	20301	14687	21627
Pp1s46_326V6.1	1	97432	107447	123493	93756	110466	128094	124461
Pp1s479_14V6.1	3	618061	613560	669595	592129	575762	453265	700484
Pp1s47_214V6.1	3	653662	762057	869695	671960	713084	642492	650586
Pp1s49_243V6.1	2	1241891	1331053	1252348	1462242	1331001	1206862	1329474
Pp1s49_285V6.1	3	364470	333010	354223	236101	226620	193621	234545
Pp1s4_235V6.1	1	25360	25466	30011	41434	44866	26842	35172
Pp1s4_321V6.1	1	324354	626012	162119	177260	50956	170082	56685
Pp1s4_490V6.1	3	2517939	2406311	2701393	1212113	1214981	840736	1057260
Pp1s4_75V6.1	2	191318	278264	141972	294079	222310	219908	136619
Pp1s4_80V6.1	1	161105	166700	223291	202993	202864	156759	181158
Pp1s50_50V6.1	3	1114482	1152157	983737	1051904	1246949	1459707	1152944
Pp1s51_241V6.1	2	365782	355560	343728	339809	317555	230542	309021
Pp1s51_261V6.1	1	235867	251262	271094	176241	134041	86454	141453
Pp1s51_315V6.1	3	681321	731172	811075	835388	779269	661314	630672
Pp1s52_157V6.1	3	14868105	13561259	9049309	5698491	4463794	7218093	5765751
Pp1s52_248V6.1	1	508514	447469	454576	636252	597106	526840	584049
Pp1s53_123V6.1	2	291068	291776	330979	322037	338507	315017	355515
Pp1s53_212V6.1	1	69771	76973	94171	79599	82129	46844	66640
Pp1s53_229V6.2	1	203598	187217	160665	69095	70622	49777	57754
Pp1s54_165V6.1	1	272283	261263	1618588	357082	340014	356295	235526
Pp1s54_291V6.1	1	258822	219281	142219	89740	88447	96823	90667
Pp1s54_77V6.1	1	412197	576530	608047	396809	490991	438122	433764
Pp1s553_2V6.1	1	50112	61977	50564	47582	45096	41149	51229
Pp1s55_140V6.1	3	2792783	2459956	2041921	1872993	1655507	2096611	1751846
Pp1s56_223V6.1	2	5562043	5350932	4937652	4226601	3890824	4057416	4941649
Pp1s58_251V6.1	3	516653	595767	624414	564764	621130	581341	563690
Pp1s59_148V6.1	1	43277	40045	49195	35203	34444	28082	29584
Pp1s59_217V6.1	1	372964	352647	330315	292341	251139	161110	277424
Pp1s59_356V6.1	2	211163	261797	184103	267541	245418	191713	151773
Pp1s59_73V6.1	3	1382252	1549639	1259222	821857	820050	539668	633877
Pp1s5_369V6.1	1	79493	75087	112126	75371	91009	51435	101004
Pp1s5_404V6.1	1	60310	77943	289074	75053	63909	37407	69340
Pp1s5_83V6.2	1	466248	760279	715324	537528	658143	388449	334029
Pp1s60_169V6.1	1	154733	213011	239820	270715	257985	149634	211971
Pp1s60_65V6.1	3	1451102	2151049	1697735	913271	1033998	659953	464808
Pp1s61_124V6.1	3	475909	530480	443277	359214	362743	264602	332099
Pp1s61_208V6.1	3	3924683	3552771	3732675	2351018	2413129	2151524	2153874
Pp1s61_72V6.1	3	644541	636082	556972	565820	662925	601142	557770
Pp1s628_7V6.1	3	5554122	5663003	7366039	2356230	2386525	1876301	2172369
Pp1s63_71V6.1	1	5920044	3214082	3828334	2422418	2221474	1647840	1942633
Pp1s64_202V6.1	1	256827	256309	268910	173930	186952	189692	211327
Pp1s64_210V6.1	3	1907299	1997705	2578572	823584	860148	638886	822726
Pp1s65_130V6.1	3	2122731	2196484	1654559	1650412	1732082	1112173	1424448
Pp1s65_267V6.1	2	199953	201112	190476	173345	188532	169888	159044
Pp1s66_107V6.1	3	263423	268004	258917	100994	94486	97996	95742
Pp1s66_139V6.1	1	104095	129481	127175	110177	134273	118005	115036
Pp1s66_172V6.1	1	996542	1053811	1561716	83492	102561	100094	142750
Pp1s66_233V6.1	2	450368	468082	565205	191502	218106	166123	217174
Pp1s66_287V6.1	3	1159050	1182562	1104136	964863	974054	569867	783406
Pp1s68_123V6.1	2	879427	861577	945152	1067135	945459	945751	1234571
Pp1s68_222V6.1	3	466636	444839	936373	185335	178445	158943	212617
Pp1s69_133V6.1	1	238835	270249	225579	117970	116437	68889	53431
Pp1s69_146V6.1	2	338511	355478	361910	181759	198708	141402	175243
Pp1s69_154V6.1	1	55033	113734	91442	266524	313090	244650	135097
Pp1s6_239V6.1	1	78261	100541	101936	43957	48299	28457	15995
Pp1s6_56V6.1	2	169640	179746	195796	118654	131689	96288	127652
Pp1s70_257V6.1	1	50446	54132	44977	34255	39702	33638	47982
Pp1s71_187V6.1	2	1691779	1665206	2373875	1908768	1360049	1179630	3198780
Pp1s71_244V6.2	3	736777	759455	685388	350740	330861	285700	316639
Pp1s71_283V6.1	3	4926599	5902238	5609137	3778570	4179529	4000990	4231442
Pp1s72_197V6.1	2	960517	847529	857305	477758	470208	364613	462626
Pp1s72_25V6.1	3	3145944	3397990	3668705	3393491	3496011	3073998	3730794
Pp1s72_281V6.1	1	280036	256202	286573	128335	116045	76209	111252
Pp1s72_282V6.1	3	215461	262420	255798	251551	280982	211327	197908
