Gene	pd_id
Pp1s104_96V6.1	PHYPADRAFT_133483
Pp1s104_98V6.1	PHYPADRAFT_166174
Pp1s104_99V6.1	PHYPADRAFT_166175
Pp1s104_99V6.2	PHYPADRAFT_166175
Pp1s104_9V6.1	PHYPADRAFT_133487
Pp1s10513_1V6.1	PHYPADRAFT_104272
Pp1s1052_2V6.1	PHYPADRAFT_103007
Pp1s10556_1V6.1	PHYPADRAFT_158388
Pp1s10591_1V6.1	PHYPADRAFT_104277
Pp1s10595_2V6.1	PHYPADRAFT_104278
Pp1s105_108V6.1	PHYPADRAFT_187430
Pp1s105_116V6.1	PHYPADRAFT_230400
Pp1s105_118V6.1	PHYPADRAFT_230402
Pp1s105_124V6.1	PHYPADRAFT_133637
Pp1s105_12V6.1	PHYPADRAFT_133621
Pp1s105_133V6.1	PHYPADRAFT_133671
Pp1s105_137V6.1	PHYPADRAFT_187434
Pp1s105_148V6.1	PHYPADRAFT_230409
Pp1s105_149V6.1	PHYPADRAFT_133703
Pp1s105_151V6.1	PHYPADRAFT_214778
Pp1s105_151V6.2	PHYPADRAFT_214778
Pp1s105_151V6.3	PHYPADRAFT_214778
Pp1s105_163V6.1	PHYPADRAFT_230413
Pp1s105_164V6.1	PHYPADRAFT_133613
Pp1s105_166V6.1	PHYPADRAFT_133630
Pp1s105_16V6.1	PHYPADRAFT_230365
Pp1s105_178V6.1	PHYPADRAFT_230417
Pp1s105_181V6.1	PHYPADRAFT_233790
Pp1s105_181V6.2	PHYPADRAFT_233790
Pp1s105_190V6.1	PHYPADRAFT_232560
Pp1s105_190V6.2	PHYPADRAFT_232560
Pp1s105_191V6.1	PHYPADRAFT_187446
Pp1s105_191V6.2	PHYPADRAFT_187446
Pp1s105_193V6.1	PHYPADRAFT_232561
Pp1s105_196V6.1	PHYPADRAFT_187449
